,mean_purity,acc,global_score,wcos,hwis
11,0.7169958410935343,0.7685714285714286,0.6455899921614086,0.9457142857142857,0.9819714285714286
12,0.77394558227492,0.7828571428571428,0.6555537560934961,0.9414285714285714,0.9806020408163265
13,0.7998441786222382,0.8042857142857143,0.6725258717198586,0.96,0.9853551020408163
14,0.8208347053899717,0.8142857142857143,0.6796020700535692,0.9428571428571428,0.9848591836734694
15,0.8140362290684303,0.8471428571428572,0.7105292308036637,0.9657142857142857,0.9896775510204081
16,0.7969542475327667,0.8157142857142857,0.6839901858821114,0.9557142857142857,0.9856795918367347
17,0.7933155267505113,0.8028571428571428,0.6706755145670983,0.96,0.9856530612244898
18,0.8440540096436426,0.8685714285714285,0.7226702152498361,0.9657142857142857,0.9916897959183674
19,0.8140348520065286,0.8514285714285714,0.7144362471153214,0.9642857142857143,0.9895938775510205
20,0.8048714385691687,0.8585714285714285,0.7182591529424267,0.9728571428571429,0.9922755102040817
21,0.8611564312671972,0.8742857142857143,0.7335572180784087,0.9714285714285714,0.9917265306122449
22,0.859046353439175,0.8642857142857143,0.7209353312331037,0.9728571428571429,0.9915387755102041
23,0.8114224583130799,0.8528571428571429,0.7053215888453274,0.9742857142857143,0.9922265306122449
24,0.8499952070692437,0.8514285714285714,0.7008933318135996,0.9742857142857143,0.9915081632653061
25,0.8262182200419739,0.8571428571428571,0.7116760263106545,0.9742857142857143,0.9923183673469388
26,0.861095189142603,0.88,0.7244780448828885,0.9771428571428571,0.9945591836734694
27,0.8381193176890754,0.8714285714285714,0.7245145846001313,0.9728571428571429,0.9939408163265306
28,0.8679085583285767,0.8942857142857142,0.7419198780050171,0.9742857142857143,0.9947102040816327
29,0.8734240411775223,0.8971428571428571,0.7476054056266234,0.9771428571428571,0.9947102040816327
30,0.8116135026233894,0.8642857142857143,0.7094233325122457,0.9771428571428571,0.9944448979591837
31,0.852376412633168,0.87,0.7111395512959243,0.98,0.9943938775510204
32,0.8251400640605187,0.8614285714285714,0.701762498302151,0.9771428571428571,0.9946673469387756
33,0.8604047560809205,0.87,0.7040102464163954,0.9757142857142858,0.9945693877551021
34,0.8470800631850673,0.87,0.7121272912980374,0.9757142857142858,0.9945244897959183
35,0.876156052246913,0.8785714285714286,0.7109274570069062,0.98,0.9946877551020408
36,0.8448020223487562,0.8671428571428571,0.7018481289264031,0.9828571428571429,0.9946673469387756
37,0.8439681495322425,0.8614285714285714,0.6966900219374661,0.9757142857142858,0.9943755102040817
38,0.8553603736411562,0.8757142857142857,0.7031085701410751,0.9785714285714285,0.9954387755102041
39,0.856175426859919,0.8771428571428571,0.7077564944848462,0.9828571428571429,0.9949714285714286
