,mean_purity,acc,global_score,wcos,hwis
11,0.8779682302063363,0.8685714285714285,0.7490627759253798,0.9457142857142857,0.986
12,0.8996464877811979,0.9042857142857142,0.7791165483157999,0.9614285714285714,0.9922102040816326
13,0.9079373735029844,0.9128571428571428,0.7819418863661922,0.9814285714285714,0.9936020408163265
14,0.9131678664875009,0.9057142857142857,0.7695894934650482,0.9685714285714285,0.9923734693877551
15,0.9135125872369781,0.9171428571428571,0.7770629899628172,0.9814285714285714,0.9945244897959183
16,0.9116076073974744,0.9085714285714286,0.7640267581578293,0.98,0.993830612244898
17,0.9101816392790576,0.9071428571428571,0.7587662795894844,0.9714285714285714,0.9942612244897959
18,0.9140431545476437,0.9085714285714286,0.7559943340077231,0.9628571428571429,0.9944387755102041
19,0.8679676103050715,0.8842857142857142,0.7313767245658406,0.9742857142857143,0.9945
20,0.9029702536512186,0.9,0.741254321343279,0.9614285714285714,0.9943102040816326
21,0.8775289777684879,0.8885714285714286,0.7278085032414869,0.9785714285714285,0.9950979591836735
22,0.8923729906069543,0.9,0.734382720600521,0.9742857142857143,0.9955571428571428
23,0.9108075718785813,0.91,0.7394324293785858,0.97,0.995734693877551
24,0.8834516258313112,0.8942857142857142,0.7229713923603278,0.9785714285714285,0.9958428571428571
25,0.9143018982207242,0.9128571428571428,0.7348608130633952,0.9757142857142858,0.9962448979591837
26,0.8836962787814181,0.89,0.7115293177544814,0.9757142857142858,0.9957469387755102
27,0.9044107779987016,0.9014285714285715,0.717536568202532,0.98,0.9961040816326531
28,0.8997971279878199,0.9071428571428571,0.7211096742603308,0.9757142857142858,0.9968224489795918
29,0.8947653918212388,0.9,0.7112535595510286,0.9785714285714285,0.9964469387755102
30,0.9118313127116483,0.9085714285714286,0.7150167938774672,0.9771428571428571,0.996665306122449
31,0.8981239541054787,0.9128571428571428,0.7170907173131302,0.9842857142857143,0.9973857142857143
32,0.8921737843766318,0.9,0.7024518169308233,0.98,0.9970081632653062
33,0.9020350072712927,0.9071428571428571,0.7053794236655689,0.9828571428571429,0.9972163265306122
34,0.9030782205065591,0.9057142857142857,0.7007361776612948,0.9828571428571429,0.9972122448979592
35,0.898077796206752,0.9157142857142857,0.7091593929769313,0.9857142857142858,0.9979102040816327
36,0.8963035827070915,0.9028571428571428,0.6935992245099549,0.9857142857142858,0.9973428571428572
37,0.8951357733030907,0.9042857142857142,0.6916812311094827,0.9871428571428571,0.9975285714285714
38,0.903769455789987,0.9171428571428571,0.7009441046638237,0.9857142857142858,0.9980081632653062
39,0.8930600991790251,0.9071428571428571,0.6898316206073339,0.9842857142857143,0.9978265306122449
