,mean_purity,acc,global_score,wcos,hwis
11,0.8791390579354729,0.6228571428571429,0.3962655959344178,0.6685714285714286,0.8286897959183674
12,0.8775875455304676,0.8157142857142857,0.6485660414325694,0.9128571428571428,0.9740857142857143
13,0.8880676126120973,0.7228571428571429,0.5180191603289607,0.7957142857142857,0.9242428571428571
14,0.9022441096616474,0.8557142857142858,0.7121908417470865,0.9114285714285715,0.9822448979591837
15,0.9192923952752622,0.7028571428571428,0.45362007158242845,0.73,0.8795367346938776
16,0.9154768759126843,0.7,0.4458649940340264,0.7285714285714286,0.8786142857142857
17,0.9238333570585125,0.7028571428571428,0.4428634589689103,0.7285714285714286,0.8783367346938775
18,0.9207068059517073,0.72,0.4560244344721752,0.7457142857142858,0.8909
19,0.9134357219194102,0.7242857142857143,0.4714939114077862,0.7514285714285714,0.8993938775510204
20,0.918559640476899,0.7214285714285714,0.4628900616359764,0.7514285714285714,0.8989224489795918
21,0.9223064601428042,0.73,0.46741741901122824,0.7614285714285715,0.9055877551020408
22,0.9268589012964777,0.7285714285714285,0.4595774453686552,0.7585714285714286,0.903169387755102
23,0.9398593423596787,0.7385714285714285,0.46665131486807687,0.76,0.9050959183673469
24,0.9233151298312322,0.7285714285714285,0.4524136378715297,0.7628571428571429,0.9058224489795919
25,0.9348555048322851,0.7385714285714285,0.4588580055133898,0.7642857142857142,0.9073918367346938
26,0.9360684222949565,0.7357142857142858,0.4632407925944737,0.7614285714285713,0.9086632653061224
27,0.9364863556315224,0.7442857142857143,0.47071630525504415,0.7685714285714286,0.9137693877551021
28,0.9337968093800689,0.7428571428571429,0.4664021558592013,0.7685714285714286,0.9137836734693877
29,0.9326364971043096,0.7471428571428571,0.46980181543213534,0.7714285714285715,0.9162224489795918
30,0.9348545889381803,0.7485714285714286,0.47015567686772086,0.7728571428571429,0.9177163265306123
31,0.9177148586907566,0.7557142857142857,0.4719625968386355,0.79,0.9264142857142857
32,0.9158268873319578,0.7571428571428571,0.48455575242066257,0.8142857142857143,0.9415183673469388
33,0.9266297763161581,0.7542857142857143,0.4677026936098191,0.7828571428571429,0.9234510204081633
34,0.9387719172239296,0.7528571428571429,0.46112193749259967,0.7785714285714286,0.9203734693877551
35,0.9458220829552045,0.7542857142857143,0.45916838227420476,0.7771428571428571,0.9196183673469388
36,0.9356433770148117,0.7585714285714286,0.46109209280229596,0.7885714285714286,0.9263346938775511
37,0.9383114989625849,0.7614285714285715,0.4601681556756945,0.7914285714285714,0.9276204081632653
38,0.9332625595054782,0.7628571428571429,0.4638718582057031,0.7942857142857143,0.9303673469387755
39,0.9214751609834045,0.7642857142857142,0.46275542163331773,0.8,0.9331081632653061
